feature,importance
expected_grid_delta,0.12777132279686113
constructor_circuit_races,0.07932837220554759
grid_expected_finish,0.06559072290309209
constructor_circuit_trend,0.052962714100957986
constructor_pace_jump_magnitude,0.052924273084670514
constructor_pace_vs_prev_similar,0.04715684962162934
constructor_circuit_avg,0.03316047989474809
quali_position,0.03225002026929584
constructor_season_trend,0.028727448547412892
grid_weighted_by_correlation,0.022891894874132103
pl_combined_strength,0.015710784722620174
season_trend,0.011701906001512729
pos_last10_std,0.008933500260578597
h2h_quali_rate,0.008900813970131205
constructor_circuit_recent,0.008300952499664827
avg_positions_gained,0.007360967136058716
quali_delta_vs_field,0.007271734106395367
form_vs_season_avg,0.007240307127797085
avg_positions_gained_last5,0.006815616496775223
constructor_season_avg,0.006655275524524296
grid,0.006585844124973028
teammate_elo_diff,0.005904421081139577
pos_last20_std,0.00586650254658092
circuit_ewm_pos,0.005135956948936715
quali_improvement,0.005014157328972302
championship_points,0.004448616991505672
points_rate_last20,0.004347670293953843
pos_last5_std,0.004226022713635924
pl_driver_strength,0.004196315747132262
circuit_avg_pos,0.0041424449875907985
momentum_score,0.003754592011350577
elo_constructor,0.0037001093467202706
circuit_recent_gained,0.0034367697574279933
teammate_elo_overall,0.003417888086470966
circuit_avg_gained,0.003412641490988455
pos_last3_std,0.0033327470747394282
circuit_quali_avg,0.00328179480950328
season_points_total,0.003263856195511683
round,0.0032220813067939556
pos_last5_mean,0.0031695682236033474
quali_best_time,0.0031380223312146736
elo_diff_vs_field,0.0030561535371502525
quali_improvement_pct,0.002992867967364443
season,0.0029773733420248583
circuit_quali_recent,0.002975121350972598
elo_qualifying,0.002966940612279978
season_avg_pos,0.002812401029116884
elo_circuit_type,0.002730143555329656
circuit_corners,0.002271015855759084
dnf_rate_last20,0.002241982335140369
circuit_attrition_rate,0.0022134634347603433
pos_last20_mean,0.0021606104331980402
season_races,0.0021453769051483773
grid_importance_score,0.0020159086230072676
circuit_quali_best,0.001926229673953106
points_to_leader,0.0019154625751135023
pl_constructor_strength,0.0018886518688667308
circuit_position_variance,0.0018334367834605737
podium_rate_last20,0.0018108194665815702
pos_last3_mean,0.0018070294796621368
pos_last10_mean,0.0017976153376756177
championship_position,0.001788685568950532
circuit_front_row_win_rate,0.001728799445692175
clean_pos_last5_best,0.0016664551838395658
circuit_podium_rate,0.0015550601451198355
constructor_championship_pos,0.0015262662233088697
grid_penalty,0.0015077721667731802
circuit_dnf_rate,0.001429110859868521
circuit_straights_pct,0.001312464557381232
points_rate_last10,0.0013090311474895477
reg_era_id,0.0012939871493012455
sprint_avg_pos_last5,0.001201877375712912
forecast_wind,0.0011865099838389791
career_races,0.0011738039687832825
elo_overall,0.001168487265571727
forecast_temp,0.0010906844473626443
points_rate_last5,0.001087684475249251
circuit_best_pos,0.0010775358709549376
points_rate_last3,0.0010618830277632663
front_row_at_this_circuit,0.0010472911961156629
pos_last5_best,0.0009035749980119245
circuit_front_row_lock_rate,0.0008766126076830583
circuit_altitude_m,0.0008564550302490482
circuit_overtaking_rate,0.0008177228336261999
elo_rank_in_field,0.0008129108177647115
elo_matches,0.0007975917736090521
dnf_rate_last10,0.0007740306644436812
grid_x_high_speed,0.0007586719274442321
sprint_points,0.0007393594372384626
sprint_avg_delta_last5,0.0006764072493688378
circuit_races,0.0006294805384013946
grid_x_street,0.0005913531098177049
constructor_pace_jump,0.0005774447479861333
grid_x_technical,0.000563423954396236
reg_distance,0.0005386491627622503
podium_rate_last10,0.0005339466085861666
podium_rate_last3,0.0004887171349989394
pos_last10_best,0.0004718688062271825
clean_pos_last5_mean,0.00047048220929748477
sprint_position,0.000393932289990051
reg_magnitude,0.00035698643991974863
circuit_grid_correlation,0.00034757696110283566
sprint_grid,0.0003297621465626399
podium_rate_last5,0.00032304445505557664
dnf_streak,0.00032189394042307916
pos_last3_best,0.0003040802171299095
circuit_drs_zones,0.00027734360279974
circuit_length_km,0.00023651412993184185
sprint_grid_delta,0.00019051605104896118
dnf_rate_last5,0.00015803954005082498
sprint_dnf_rate,9.121802423348591e-05
circuit_avg_positions_changed,9.104548871352591e-05
reg_convergence,7.935412850232915e-05
reg_is_engine_change,6.991240636873286e-05
dnf_rate_last3,1.310466180450831e-05
circuit_rain_probability,0.0
f1_tire_deg_medium_avg,0.0
f1_n_compounds_avg,0.0
f1_n_stints_avg,0.0
f1_worst_stint_deg_rate_avg,0.0
f1_avg_stint_deg_rate_avg,0.0
f1_tire_deg_hard_avg,0.0
f1_tire_deg_worst_avg,0.0
f1_race_pace_median_avg,0.0
f1_tire_deg_avg_avg,0.0
f1_speedfl_avg_avg,0.0
f1_speedst_max_avg,0.0
f1_speedst_avg_avg,0.0
f1_sector3_mean_avg,0.0
f1_lap1_position_change_avg,0.0
f1_best_stint_gain_avg,0.0
f1_avg_positions_gained_per_stint_avg,0.0
f1_sector1_mean_avg,0.0
f1_tire_management_vs_field,0.0
f1_lap1_avg_gain,0.0
f1_lap1_best_gain,0.0
f1_race_vs_quali_delta,0.0
f1_stint_strategy_avg,0.0
f1_sc_pos_gain_avg,0.0
f1_sc_exposure,0.0
avg_pit_stop_time,0.0
pit_stop_reliability,0.0
f1_tire_deg_soft_avg,0.0
is_wet,0.0
f1_sector2_mean_avg,0.0
f1_sector2_consistency_avg,0.0
f1_sector3_consistency_avg,0.0
fp_delta_vs_field,0.0
elo_wet,0.0
compromised_rate_last10,0.0
air_temp_avg,0.0
humidity_avg,0.0
wind_speed_avg,0.0
fp_best_time,0.0
fp_total_laps,0.0
track_temp_avg,0.0
fp2_long_run_pace,0.0
fp2_long_run_pace_corrected,0.0
constructor_lap1_avg_gain,0.0
f1_lap_consistency_avg,0.0
f1_sector1_consistency_avg,0.0
f1_lap_mean_avg,0.0
f1_lap_best_avg,0.0
fp2_deg_rate,0.0
sprint_dnf,-6.347448772370256e-07
is_rookie,-2.039843926042728e-05
forecast_rain_prob,-2.507122037005427e-05
reg_budget_cap,-2.8247948591131333e-05
has_grid_penalty,-3.408046251214269e-05
reg_change_year,-3.7163687078289875e-05
reg_is_aero_change,-4.845779606368339e-05
circuit_win_streak,-6.999257540061255e-05
quali_reached_q2,-7.14000219887323e-05
title_contender,-7.803417377467703e-05
pos_last20_best,-9.312486546448895e-05
quali_reached_q3,-0.00039892689086522547
